0,the
1,minimum
2,description
3,length
4,principle
5,for
6,online
7,sequence
8,estimation/prediction
9,in
10,a
11,proper
12,learning
13,setup
14,is
15,studied
16,if
17,underlying
18,model
19,class
20,discrete
21,then
22,total
23,expected
24,square
25,loss
26,particularly
27,interesting
28,performance
29,measure
30,this
31,quantity
32,finitely
33,bounded
34,implying
35,convergence
36,with
37,probability
38,one
39,and
40,b
41,it
42,additionally
43,specifies
44,speed
45,mdl
46,general
47,can
48,only
49,have
50,bounds
51,which
52,are
53,finite
54,but
55,exponentially
56,larger
57,than
58,those
59,bayes
60,mixtures
61,we
62,show
63,that
64,even
65,case
66,contains
67,bernoulli
68,distributions
69,derive
70,new
71,upper
72,bound
73,on
74,prediction
75,error
76,countable
77,classes
78,implies
79,small
80,comparable
81,to
82,certain
83,important
84,discuss
85,application
86,machine
87,tasks
88,such
89,as
90,classification
91,hypothesis
92,testing
93,generalization
94,of
95,iid
96,models
97,mixture
98,solomonoff
99,induction
100,marginalization
101,all
102,these
103,terms
104,refer
105,central
106,obtain
107,predictive
108,distribution
109,by
110,integrating
111,product
112,prior
113,evidence
114,over
115,many
116,cases
117,however
118,computationally
119,infeasible
120,sophisticated
121,approximation
122,expensive
123,or
124,map
125,maximum
126,posteriori
127,estimator
128,both
129,common
130,its
131,own
132,sake
133,use
134,largest
135,practice
136,usually
137,being
138,approximated
139,too
140,since
141,local
142,determined
143,how
144,good
145,predictions
146,question
147,has
148,attracted
149,much
150,attention
151,an
152,quality
153,cumulative
154,predictor
155,particular
156,often
157,considered
158,assume
159,outcome
160,space
161,continuously
162,parameterized
163,unbounded
164,growing
165,symbol
166,
167,where
168,sample
169,size
170,citation
171,corresponds
172,instantaneous
173,losses
174,behave
175,similarly
176,under
177,appropriate
178,conditions
179,specific
180,note
181,order
182,do
183,continuous
184,needs
185,discretize
186,parameter
187,see
188,also
189,other
190,hand
191,solomonoff's
192,theorem
193,namely
194,weight
195,true
196,necessary
197,assumption
198,contained
199,ie
200,dealing
201,been
202,demonstrated
203,be
204,essential
205,violated
206,may
207,fail
208,very
209,badly
210,shown
211,holds
212,sharp
213,probabilities
214,contrast
215,gives
216,sense
217,errors
218,magnitude
219,cannot
220,occur
221,so
222,while
223,worse
224,compared
225,avoid
226,term
227,rate
228,here
229,identical
230,eg
231,monotonically
232,decreasing
233,not
234,necessarily
235,therefore
236,natural
237,ask
238,there
239,present
240,work
241,concentrate
242,simplest
243,possible
244,stochastic
245,just
246,becomes
247,estimates
248,directly
249,uses
250,nevertheless
251,consistency
252,terminology
253,keep
254,might
255,surprising
256,discover
257,still
258,exponential
259,will
260,give
261,mild
262,guaranteeing
263,moreover
264,well-known
265,likelihood
266,decays
267,same
268,measured
269,more
270,statements
271,briefly
272,discussed
273,section
274,motivation
275,consider
276,arises
277,algorithmic
278,information
279,theory
280,from
281,computational
282,point
283,view
284,relevant
285,computable
286,some
287,fixed
288,universal
289,turing
